age	Asian, Asian British or Asian Welsh: Bangladeshi Female	Asian, Asian British or Asian Welsh: Bangladeshi Male	Asian, Asian British or Asian Welsh: Chinese Female	Asian, Asian British or Asian Welsh: Chinese Male	Asian, Asian British or Asian Welsh: Indian Female	Asian, Asian British or Asian Welsh: Indian Male	Asian, Asian British or Asian Welsh: Pakistani Female	Asian, Asian British or Asian Welsh: Pakistani Male	Asian, Asian British or Asian Welsh: Other Asian Female	Asian, Asian British or Asian Welsh: Other Asian Male	Black, Black British, Black Welsh, Caribbean or African: African Female	Black, Black British, Black Welsh, Caribbean or African: African Male	Black, Black British, Black Welsh, Caribbean or African: Caribbean Female	Black, Black British, Black Welsh, Caribbean or African: Caribbean Male	Black, Black British, Black Welsh, Caribbean or African: Other Black Female	Black, Black British, Black Welsh, Caribbean or African: Other Black Male	Mixed or Multiple ethnic groups: White and Asian Female	Mixed or Multiple ethnic groups: White and Asian Male	Mixed or Multiple ethnic groups: White and Black African Female	Mixed or Multiple ethnic groups: White and Black African Male	Mixed or Multiple ethnic groups: White and Black Caribbean Female	Mixed or Multiple ethnic groups: White and Black Caribbean Male	Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups Female	Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups Male	White: English, Welsh, Scottish, Northern Irish or British Female	White: English, Welsh, Scottish, Northern Irish or British Male	White: Gypsy or Irish Traveller Female	White: Gypsy or Irish Traveller Male	White: Irish Female	White: Irish Male	White: Roma Female	White: Roma Male	White: Other White Female	White: Other White Male	Other ethnic group: Arab Female	Other ethnic group: Arab Male	Other ethnic group: Any other ethnic group Female	Other ethnic group: Any other ethnic group Male
81	470	435	490	435	2990	2570	1250	1320	845	740	885	570	2075	1665	255	175	155	180	75	45	160	145	215	130	164265	132505	70	60	3255	2345	25	30	3600	2045	180	175	1000	830
82	405	385	475	345	2830	2350	1045	1165	695	605	665	460	2130	1595	180	165	150	135	55	35	155	135	190	125	157420	124260	50	60	3155	2135	30	20	3160	1880	120	160	895	715
83	325	365	415	330	2445	2070	940	1140	630	500	525	360	2015	1415	190	165	145	120	40	45	145	135	175	110	147445	113655	50	55	3040	1945	35	20	2830	1660	95	150	760	570
84	280	335	375	290	2155	1890	860	1015	550	430	500	340	1895	1310	155	130	115	105	40	35	125	110	145	115	136140	102075	40	40	2845	1775	25	15	2830	1550	105	130	765	545
85	255	265	335	250	1860	1665	865	920	450	360	385	315	1740	1230	130	95	140	85	45	25	115	120	170	80	123585	89180	45	30	2615	1470	25	15	2595	1255	110	105	660	455
86	210	195	250	210	1655	1350	750	735	465	315	330	255	1585	1120	125	75	100	85	40	15	155	75	135	95	111245	78400	45	20	2325	1245	20	15	2210	1145	85	105	585	365
87	195	130	235	180	1395	1225	655	565	335	250	270	180	1240	925	90	75	95	65	30	20	105	85	120	85	99055	66520	35	25	2005	1060	20	20	1880	920	50	75	540	335
88	125	130	185	135	1195	1030	540	495	305	235	210	135	1070	760	70	80	90	55	35	15	95	55	100	50	90275	57835	30	30	1710	850	15		1780	805	70	90	455	305
89	80	125	185	100	950	810	405	375	215	175	150	95	885	640	75	50	60	35	25	10	80	50	80	30	80745	49145	20	15	1410	680	10		1585	650	55	55	350	235
90	85	85	130	90	830	625	365	290	235	140	240	80	800	530	50	40	70	35	20	15	80	45	75	30	71830	40825	20	15	1295	530	15		1420	615	50	45	355	200
91	65	65	100	70	640	505	330	260	190	90	165	70	600	390	50	30	70	30	20		60	50	65	30	59530	31730	15	10	1015	410			1340	445	40	40	265	155
92	35	40	95	40	470	325	180	150	125	70	75	50	495	295	35	20	50	25	15	10	60	20	55	20	48875	24620			885	330			1115	405	25	20	210	125
93	20	30	60	65	375	235	150	125	90	60	65	25	375	200	30		30	15	15		50	30	40	15	38845	18230	10		655	265			930	315	25	15	165	85
94	10	40	55	25	255	175	105	75	80	35	70	20	270	165	25	10	40	20	10		45	20	25	20	31010	13755			530	155			800	325	10	10	125	70
95	15		35	20	230	115	70	55	55	25	25	15	230	100	15		25	10			30		25		23830	9710			360	85			610	250	10		95	45
96	15	10	35	20	165	85	50	40	45	20	15	15	160	100	15		20				25		30	10	18235	6515			255	60			480	185	10		80	35
97	10		35	15	125	50	45	30	25	15	10		90	65			10				15				13290	4365			190	45			305	110			60	25
98			15		90	40	20	20	10	15	15	10	60	35			10				20		10		9645	2930			115	30			210	65			30	15
99			10		55	10	25	15	15		15		35	20											7050	1980			75	10			140	50			30	20
100 or over	20		15		115	30	60	15	20	10	25	10	80	25					10		15		10		10545	2400			135	25			180	50		15	35	25
